nom_tecnica,display_nom,categoria,tipus_calor,descripcio,impacte_textura,impacte_sabor,requereix_eina,aplicable_a,notes_dietes,aplica_estat,aplica_macro,aplica_family,prioritat_macro,prioritat_family,evita_macro,evita_family,notes_seleccio
infusio_rapida,Infusió ràpida (N2O),molecular,sense_calor,Perfumar líquids i olis en segons amb pressió,aromatitzat_intens|net,eleva_aroma|refina_matís,sifo_N2O,liquids|oli|herbes|fruita,ideal_per_aromes_delicades,liquid,fat|other|sauce,mediterranean_oils|semi_toasted_oils|general_fat|acetic|asian_acetic|wine_reduction|cooking_stock|fermented|soy|soy_derivative,fat>other>sauce,mediterranean_oils>semi_toasted_oils>cooking_stock>asian_acetic>fermented,,,Objectiu: vehicle líquid; aromàtics del plat no són l’objectiu
plating_linia_minimal,Plating minimalista en línia,minimalista,sense_calor,Disposició neta amb pocs elements alineats i espais amplis,net|ordenat,centra_atencio_en_producte|sensacio_elegancia,anella_emplatat|pinces,proteina_animal|peix|verdura|lacti|postres,neutre,solid|semi_liquid,protein_animal|vegetable|dairy|fruit|grain,,protein_animal>vegetable>dairy>fruit>grain,protein_animal>vegetable>dairy_cheese>general_fruit>rice,sauce|sweet_sauce,,Objectiu: 1 element principal sòlid + 1 guarnició; salsa mínima
puntillisme_salsa,Puntillisme de salsa,minimalista,sense_calor,Gotes regulars de salsa/coulis com a element gràfic,lleuger|fluid,reforca_sabor_principal|afegeix_matís_visual,cullera_dosificadora|pipeta,liquids|salsa|fruita|lacti|postres,controlar_sucres,liquid|semi_liquid,sauce|other|fruit|dairy|sweet_sauce,cooking_stock|wine_reduction|acetic|asian_acetic|emulsion|dairy_cream|general_fruit|tropical_fruit,sauce>other>dairy>fruit,cooking_stock>wine_reduction>emulsion>general_fruit|tropical_fruit|acetic,,,Objectiu: base fluida intensa; evita massa aigualit; 6-14 gotes
cruixent_fina,Fulla cruixent fina,minimalista,baixa_o_mitjana_temp,Làmina ultraprima cruixent per contrast i alçada,cruixent_fi|fracturable,aporta_contrast|equilibra_cremositat,forn|silpad,postres|fruita|lacti|verdura,comprovar_gluten,solid|semi_liquid,vegetable|fruit|dairy|grain,green_leaf|root|general_fruit|tropical_fruit|dairy_cheese|processed_cereal,vegetable>fruit>dairy>grain,green_leaf>root>general_fruit>dairy_cheese>processed_cereal,sauce|other,,Objectiu: ingredient laminar; puré dens ok; evita líquids purs
contrast_volums,Contrast de volums,minimalista,sense_calor_o_suau,Arquitectura visual: base plana + element elevat,estructurat|arquitectura_visual,accentua_element_principal|sensacio_disseny,anella_emplatat|ganivet_filo_fi,proteina_animal|peix|verdura|postres,neutre,solid|semi_liquid,protein_animal|vegetable|dairy|fruit,protein_animal>vegetable>dairy>fruit,protein_animal>vegetable>dairy_cream>general_fruit,sauce|sweet_sauce,,Objectiu: base plana + peça; si no hi ha estructura baixa prioritat
laminat_fi,Laminat molt fi,minimalista,sense_calor_o_suau,Làmines fines per transparència i delicadesa,lamina_fina|delicat,suavitza_intensitat|millora_integracio_sabors,mandolina|ganivet_filo_fi,fruita|verdura|proteina_animal|peix,precaucio_cru,solid,vegetable|fruit|protein_animal,green_leaf|root|general_fruit|tropical_fruit|protein_animal,vegetable>fruit>protein_animal,root>general_fruit>tropical_fruit>protein_animal,sauce|sweet_sauce,,Objectiu: sòlid apte per laminar; ideal cru o semicuit
lacat_asiatic_fina,Lacat asiàtic fi,fusio,mitjana_o_alta_temp,Lacat amb salsa reduïda per capa lluent,lluent|lleugerament_enganxosa,combina_dolç_salat|intensifica_umami,planxa|forn|pinzell_cuina,proteina_animal|peix|segon,alt_sucre_i_sodi,solid,protein_animal,sweet_sauce|soy|soy_derivative|wine_reduction|fermented,protein_animal,sweet_sauce>soy_derivative>wine_reduction>fermented,sweetener|dairy,,Objectiu: peça sòlida; salsa que redueixi; evita plats aquosos
tempering_especies,Tempering d’espècies,fusio,baixa_o_mitjana_temp,Escalfar espècies en greix suau per alliberar aromes,oli_aromatitzat|suau,potencia_aroma|suavitza_amargor,cassola_petita,liquids|salsa|altre,controlar_greix_i_picant,liquid|semi_liquid,fat|other|sauce,mediterranean_oils|semi_toasted_oils|general_fat|spice|aromatic_herb|aromatic_leaf,fat>other>sauce,spice>aromatic_herb>aromatic_leaf>general_fat,,,Objectiu: espècies/herbes + greix; ideal per acabar; evita foc alt
infusio_aromatica_fusio,Infusió aromàtica de fusió,fusio,sense_calor_o_suau,Perfumar líquids o olis amb espècies/herbes per sumar capes,net|aromatitzat,eleva_aroma|aporta_complexitat,olla_petita|colador,liquids|oli|salsa,apte_vegans_segon_matriu,liquid,fat|sauce|other,mediterranean_oils|semi_toasted_oils|general_fat|cooking_stock|acetic|asian_acetic|wine_reduction|fermented|spice|aromatic_herb|aromatic_leaf,fat>sauce>other,aromatic_herb>aromatic_leaf>spice>cooking_stock>asian_acetic,,,Objectiu: vehicle líquid; prioritza oli o brou del plat
vapor_planxa_combina,Cocció combinada vapor i planxa,fusio,mitjana_temp,Cuinar al vapor i acabar a planxa per sucós + torrat,sucós_interior|marcat_exterior,manté_frescor|afegeix_torrat,vaporera|planxa,proteina_animal|peix|verdura,tecnica_saludable,solid,protein_animal|vegetable,fish_white|general_seafood|meat_poultry|meat_pork|root|green_leaf,protein_animal>vegetable,fish_white>general_seafood>meat_poultry>root>green_leaf,sweetener|dairy,,Objectiu: principal cuit en 2 fases; evita estofats espessos
gelee_dashi_fina,Gelée fina de dashi,fusio,suau,Gel tendre de brou umami per punts nets de salsa,gel_tendre|tremolosa,aporta_umami_suau|refresca_sabor,motlles|nevera,liquids|salsa|primer,conté_peix_no_apte_vegans,liquid|semi_liquid,sauce|other|dairy,cooking_stock|fermented|soy|soy_derivative|emulsion,cooking_stock>other>sauce,fermented>soy_derivative>emulsion>cooking_stock,dairy|sweetener,,Objectiu: brou lleuger umami; evita postres dolces
aire_saboritzat_fi,Aire saboritzat fi,creativa,sense_calor,Aire molt lleuger de base aromàtica,airejat_molt_lleuger,potencia_aroma|dispersa_sabor,turbina|batedora,liquids|salsa|postres,requereix_salses_poc_greixoses,liquid|semi_liquid,sauce|other|sweet|sweetener,emulsion|cooking_stock|acetic|asian_acetic|wine_reduction|sweet_sauce|fermented,sauce>other>sweetener,cooking_stock>emulsion>sweet_sauce>wine_reduction>asian_acetic,dairy|fat,,Objectiu: base molt fina; evita greix i densitat
gel_transparent,Gel transparent,creativa,suau,Gel quasi transparent a partir de líquid clarificat,gel_suau|transparent,refina_sabor|aporta_frescor,nevera|motlles,liquids|salsa|postres,vegano_depèn_agent,liquid|semi_liquid,sauce|other|sweet,cooking_stock|acetic|asian_acetic|wine_reduction|general_fruit|tropical_fruit,sauce>other>sweet,cooking_stock>wine_reduction>asian_acetic>general_fruit,dairy|fat,,Objectiu: líquid clar; evita tèrbol i gras
caldo_solidificat,Caldo solidificat,creativa,suau,Peces tallables de brou amb alliberament de líquid,ferm_exterior|sucós_interior,concentra_sabor|afegeix_sorpresa,cassola|motlles,liquids|salsa|primer,no_apte_vegans_si_gelatina,liquid|semi_liquid,sauce|other,cooking_stock|fermented|soy|soy_derivative|emulsion,sauce>other,cooking_stock>fermented>soy_derivative|emulsion,sweet|sweetener,,Objectiu: brou potent; evita líquids dolços
microtall_ultrafina,Microtall ultrafina,creativa,sense_calor,Làmines gairebé transparents per capes fines,lamina_extremadament_fina,uniformitza_sabor|suavitza_intensitat,mandolina_precisa|ganivet_filo_fi,verdura|fruita|proteina_animal|peix,precaucio_cru,solid,vegetable|fruit|protein_animal,root|green_leaf|general_fruit|tropical_fruit|fish_white|meat_poultry,vegetable>fruit>protein_animal,root>green_leaf>general_fruit>fish_white,dairy|sweet_sauce,,Objectiu: ingredient tallable net; ideal cru o marinat
texturitzat_creatiu,Texturitzat creatiu,creativa,variable,Formes i textures inesperades a partir de masses o gels,variable|sorprenent,aporta_joc_boca|modula_intensitat,motlles|espàtula|estris_variats,postres|altre,depèn_recepta,semi_liquid|solid,dairy|sweet|sweetener|other|fruit,dairy_cream|dairy_yogurt|emulsion|general_fruit|tropical_fruit,dairy>sweet>other,dairy_cream>dairy_yogurt>general_fruit|emulsion,protein_animal,,Objectiu: masses manipulables; evita plats molt tradicionals

reduccio_aromatica_fina,Reducció aromàtica fina,nouvelle,baixa_o_mitjana_temp,Reduir fons o sucs lleugers fins salsa fluida i aromàtica,lleugerament_espessa|vellutada,concentra_sabor|eleva_aroma,cassola|espàtula,liquids|salsa|fons_cuina|primer|segon,pot_contenir_gluten_si_fons,liquid|semi_liquid,sauce|other,cooking_stock|wine_reduction|emulsion,sauce>other,cooking_stock>wine_reduction>emulsion,, ,Objectiu: base líquida gustosa; ideal si el plat ja té brou o sucs
clarificacio_cristal,Clarificació cristal·lina,nouvelle,baixa_o_mitjana_temp,Clarificar un brou/fons per obtenir textura transparent i neta,llis|clar,neteja_sabor|refina_aroma,olla_fonda|xino_doble|paper_filtre,liquids|fons_cuina|primer,normalment_amb_ou,liquid,sauce|other,cooking_stock,sauce>other,cooking_stock,, ,Objectiu: brou clar; evita bases grasses o molt tèrboles
glacejat_fines_herbes,Glacejat de fines herbes,nouvelle,baixa_o_mitjana_temp,Recobrir suaument verdures o proteïnes amb reducció d’herbes i mantega,lluent|suau,intensifica_herbes|arrodoneix_salat,paella|pinzell_cuina,verdura|proteina_animal|segon,pot_alt_mantega,solid,protein_animal|vegetable,fish_white|meat_poultry|root|green_leaf,protein_animal>vegetable,fish_white>meat_poultry>root>green_leaf,dairy,,Objectiu: peça sòlida; ideal amb herbes fresques; evita dietes baixes en greix
marinat_herbal_curt,Marinat herbal curt,nouvelle,sense_calor,Marinat curt d’herbes oli i àcid per perfumar sense dominar,llis|lleugerament_hidratat,aporta_fresc|equilibra_acidesa,bol|batedor,proteina_animal|peix|verdura|primer|segon,controlar_sodi_i_acidesa,solid,protein_animal|vegetable|fish_white,fish_white|green_leaf|root|meat_poultry,protein_animal>vegetable,fish_white>green_leaf>root>meat_poultry,sweetener|dairy,,Objectiu: ingredient apte per cru o semicuit; millor amb cítric/herbes
saltat_vif_lleuger,Saltat viu lleuger,nouvelle,mitjana_o_alta_temp,Saltejat ràpid a foc viu per marcar i mantenir interior sucós,marcat_exterior|sucós_interior,intensifica_maillard|manté_fresc,paella|espàtula,proteina_animal|verdura|primer|segon,afegir_poc_greix,solid,protein_animal|vegetable,fish_white|meat_poultry|root|green_leaf,protein_animal>vegetable,fish_white>meat_poultry>root>green_leaf,sauce|sweet_sauce,,Objectiu: principal o guarnició; evita estofats i plats ofegats en salsa

glace_tradicional,Glace tradicional,classica,baixa_o_mitjana_temp,Reduir fons foscos fins textura espessa i lluent per napar,espessa|adhesiva,concentra_umami|aporta_profunditat,cassola_fonda|espàtula,liquids|salsa|fons_cuina|segon,alt_sodi_i_gelatina,liquid|semi_liquid,sauce|other,cooking_stock|wine_reduction,sauce>other,cooking_stock>wine_reduction,, ,Objectiu: base de fons; millor amb carns; evita plats lleugers
roux_lleuger,Roux lleuger,classica,baixa_o_mitjana_temp,Farina + greix lleu per espessir salses sense pesadesa,llis|ligerament_espessit,suavitza_salsa|redueix_aspror,cassola|batedor,liquids|salsa|altre,conte_gluten_no_celiacs,liquid|semi_liquid,sauce|other,emulsion|cooking_stock,sauce>other,emulsion>cooking_stock,, ,Objectiu: espessir salsa; evita si celiac o sense farines
brasejat_fondant,Brasejat fondant,classica,baixa_o_mitjana_temp,Cocció lenta en líquid aromàtic fins textura molt tendra,fibrosa_suau|melosa,profunditza_sabor|suavitza_fibres,cassola_fonda|tapa,proteina_animal|verdura|cereal_feculent|segon,alt_greix_i_sodi,solid,protein_animal|vegetable|grain,meat_poultry|meat_pork|root|processed_cereal,protein_animal>vegetable>grain,meat_pork>meat_poultry>root>processed_cereal,sweetener|dairy,,Objectiu: plats de segon; evita si vols lleugeresa
napar_cla,Napar clar,classica,sense_calor_o_suau,Capa fina i uniforme de salsa sobre l’element,llis|recobert,integra_components|equilibra_sabor,cullera|pinzell_cuina,proteina_animal|lacti|postres,pot_contenir_lacti_o_gluten,solid|semi_liquid,sauce|dairy|other,emulsion|sweet_sauce|dairy_cream,sauce>dairy>other,emulsion>sweet_sauce>dairy_cream,, ,Objectiu: salsa final; necessita una base napant; evita si no hi ha salsa coherent
gratinar_mantega_fina,Gratinar amb mantega fina,classica,mitjana_o_alta_temp,Dorar superfície amb mantega formatge o pa ratllat per crosta fina,suplement_cruixent|torrat,accentua_salat|aporta_torrat,forn|salamandra,verdura|lacti|cereal_feculent|segon|postres,alt_mantega_i_possible_gluten,solid,dairy|vegetable|grain,dairy_cheese|processed_cereal|root,dairy>vegetable>grain,dairy_cheese>processed_cereal>root,, ,Objectiu: peça gratinable; evita dietes baixes greix o sense gluten
fermentacio_lactica_suau,Fermentació làctica suau,nordica,sense_calor,Fermentar verdures o fruites amb sal per acidesa complexa,ferma|lleugerament_gasosa,aporta_acidesa|profunditat,recipient_fermentacio|pes,verdura|fruita|altre,controlar_sodi,solid|semi_liquid,vegetable|fruit,root|green_leaf|general_fruit|tropical_fruit,vegetable>fruit,root>green_leaf>general_fruit,, ,Objectiu: ingredient vegetal/fruita; ideal per acid_suau; evita si hiposodica estricta
fumat_fred_nordic,Fumat en fred nòrdic,nordica,baixa_temp,Fumat suau a baixa temperatura per perfumar sense coure,lleugerament_assecat|superficie_suau,afegeix_fumat_suau|accentua_salat,fumador_fred|reixeta,peix|proteina_animal|verdura,evitar_sensibles,solid,protein_animal|vegetable,fish_white|general_seafood|meat_poultry|green_leaf,protein_animal>vegetable,fish_white>general_seafood>meat_poultry>green_leaf,, ,Objectiu: peix o peça sòlida; evita si ja és molt fumat
caramelitzat_negre_nordic,Caramelitzat negre nòrdic,nordica,mitjana_o_alta_temp,Caramelitzar fins límit controlat per notes torrades i amargor fina,exterior_fosc|interior_sucós,aporta_amargor_fina|profunditza_sabor,paella|planxa,verdura|proteina_animal|altre,evitar_sensibles_amarg,solid,protein_animal|vegetable|other,root|green_leaf|meat_poultry,protein_animal>vegetable>other,root>green_leaf>meat_poultry,, ,Objectiu: ingredients que toleren torrat; evita si perfil dolç delicat
pell_cruixent_natural,Pell cruixent natural,nordica,mitjana_o_alta_temp,Deshidratar i rostir pells per textura lleugera i cruixent,cruixent_fina|fracturable,concentra_sabor|aporta_contrast,forn|reixeta,proteina_animal|peix,greix_i_colesterol,solid,protein_animal,fish_white|general_seafood|meat_poultry,protein_animal,fish_white>general_seafood>meat_poultry,, ,Objectiu: peça amb pell; evita si no hi ha pell o si dieta baixa colesterol
marinat_salmurra_suau,Marinat en salmorra suau,nordica,sense_calor,Salmorra lleugera per fixar textura i salinitat controlada,ferma|hidratada,aporta_salat_suau|millora_suculent,recipient|balança,peix|proteina_animal,controlar_sodi,solid,protein_animal,fish_white|general_seafood|meat_poultry,protein_animal,fish_white>general_seafood>meat_poultry,, ,Objectiu: peces cuites o semicuites; millora textura; evita hiposodica
rostit_lent,Rostit lent,mercat,baixa_o_mitjana_temp,Forn suau llarg per concentrar sucs i endolcir naturalment,interior_melós|superficie_lleugerament_daurada,concentra_sabor|endolceix_naturalment,forn|safata,proteina_animal|verdura|cereal_feculent|segon,controlar_greix,solid,protein_animal|vegetable|grain,meat_poultry|meat_pork|root|processed_cereal,protein_animal>vegetable>grain,meat_pork>meat_poultry>root>processed_cereal,, ,Objectiu: ideal segons; evita si vols cocció molt ràpida
confit_suau,Confit suau,mercat,baixa_temp,Cocció en greix a baixa temperatura per textura molt tendra,molt_tendra|sucosa,aporta_richesa|suavitza_sabor,cassola_fonda,proteina_animal|verdura|segon,alt_greix,solid,protein_animal|vegetable,meat_pork|meat_poultry|root,protein_animal>vegetable,meat_pork>meat_poultry>root,, ,Objectiu: quan busques melositat; evita dietes hipocaloriques
saltat_producte,Saltat de producte de mercat,mercat,mitjana_temp,Saltejat ràpid per preservar textura i color,lleugerament_cruixent|sucós,manté_fresc|resalta_sabors_naturals,paella|espàtula,verdura|proteina_animal|primer|segon,controlar_oli,solid,protein_animal|vegetable,fish_white|meat_poultry|root|green_leaf,protein_animal>vegetable,fish_white>meat_poultry>root>green_leaf,sauce|sweet_sauce,,Objectiu: ingredient fresc; evita sobrecocció; ideal per estacionalitat
reductora_herbal,Reductora herbal,mercat,baixa_o_mitjana_temp,Reducció lleugera amb herbes per salsa perfumada,lleugerament_espessa|aromatitzada,concentra_herbes|aporta_fresc,cassola|batedor,liquids|salsa|oli|primer|segon,apte_vegans_si_base_veg,liquid|semi_liquid,sauce|other|fat,cooking_stock|wine_reduction|emulsion|mediterranean_oils,sauce>fat>other,cooking_stock>wine_reduction>emulsion,, ,Objectiu: base líquida + herbes; evita bases molt greixoses
fumet_espress,Fumet exprés de mercat,mercat,baixa_o_mitjana_temp,Fumet ràpid de peix per base de sopes i salses,lleuger|clar,aporta_umami|reforça_sabor_peix,olla|colador,liquids|peix|salsa|primer,conté_peix_no_vegans,liquid,sauce|other,cooking_stock,sauce>other,cooking_stock,, ,Objectiu: plats de peix; evita si menú vegà
microbrots_finals,Microbrots i acabat fresc,mercat,sense_calor,Acabat amb brots i herbes fresques per volum i frescor visual,net|lleuger,aporta_fresc|accentua_aroma,pinces,verdura|primer|segon|postres,apte_vegans,solid,vegetable,green_leaf|aromatic_herb|aromatic_leaf,vegetable,green_leaf>aromatic_herb>aromatic_leaf,, ,Objectiu: acabat final; útil amb minimalista i mercat; evita si ja hi ha massa herba
oli_perfum_herbal,Oli perfumat herbal,mercat,sense_calor_o_suau,Oli perfumat amb herbes o cítric com a acabat brillant,brillant|napant_fi,eleva_aroma|arrodoneix_gust,bol|colador,oli|salsa|primer|segon,apte_vegans,liquid|semi_liquid,fat|sauce,mediterranean_oils|semi_toasted_oils|general_fat,fat>sauce,mediterranean_oils>semi_toasted_oils>general_fat,, ,Objectiu: acabat aromàtic; ideal si el plat queda sec; evita si ja hi ha excés d’oli

nom_tecnica,display_nom,categoria,tipus_calor,descripcio,impacte_textura,impacte_sabor,requereix_eina,aplicable_a,notes_dietes,aplica_estat,aplica_macro,aplica_family,prioritat_macro,prioritat_family,evita_macro,evita_family,notes_seleccio
yakimono,Yakimono,cultural,mitjana_o_alta_temp,Cocció japonesa a la graella o planxa amb control precís del punt i aroma,marcat|sucós,umami|torrat,graella|planxa,peix|proteina_animal|proteina_vegetal,controlar_fum_i_salat,solid,protein_animal|vegetable|other,,protein_animal>vegetable>other,,fat|dairy,,Objectiu: peça principal marcada; ideal si vols umami+torrat sense salsa pesada
nimono,Nimono,cultural,baixa_o_mitjana_temp,Cocció lenta en brou japonès perquè el sabor penetri al producte,tendre|melós,umami|salat,cassola,peix|proteina_animal|verdura|cereal_feculent,controlar_sodi,solid|semi_liquid,protein_animal|vegetable|grain|sauce,cooking_stock,protein_animal>vegetable>grain>sauce,cooking_stock,, ,Objectiu: tècnica humida; prioritza plats que ja tenen “vehicle” (brou/fons)
mushimono,Mushimono,cultural,suau,Cocció al vapor tradicional per preservar textura i puresa del producte,sucós|fi,net|umami,vaporera,peix|proteina_animal|verdura,apta_totes_dietes,solid,protein_animal|vegetable,,protein_animal>vegetable,, ,Objectiu: quan vols lleugeresa i netedat; baixa prioritat si el plat és molt untuós
agemono,Agemono,cultural,mitjana_o_alta_temp,Fregits japonesos (tempura/karaage) amb arrebossat lleuger,cruixent,umami|torrat,fregidora|paella_fonda,peix|proteina_animal|verdura,controlar_greix,solid,protein_animal|vegetable,,protein_animal>vegetable,,fat|dairy,,Objectiu: cruixent contrast; evita si el menú ja té moltes tècniques “pesades”
tsukemono,Tsukemono,cultural,sense_calor,Encurtits i fermentacions curtes com a contrapunt del plat,cruixent|fresc,acid|salat,recipient_fermentacio,verdura|fruita,controlar_sodi,solid,vegetable|fruit,,vegetable>fruit,, ,Objectiu: guarnició àcida; gran per estils citric/umami
dashi,Dashi,cultural,suau,Brou base japonès a partir d’alga i peix sec,lleuger|fluid,umami,olla|colador,liquids|salsa|altre,conté_peix,liquid,sauce|other,cooking_stock,sauce>other,cooking_stock,, ,Objectiu: afegeix umami com a “vehicle” líquid; ideal si el plat està massa sec
tare,Tare,cultural,baixa_o_mitjana_temp,Salsa base japonesa per lacar o acabar plats,brillant|glassejat,umami|dolc_salat,cassola|pinzell,peix|proteina_animal|proteina_vegetal,alt_sodi_i_sucre,liquid|semi_liquid,sauce|other,sweet_sauce,sauce>other,sweet_sauce,, ,Objectiu: lacat final; necessita peça sòlida que aguanti glassejat
kiritsuke,Kiritsuke,cultural,sense_calor,Tècnica de tall japonesa que optimitza textura i mossegada,tall_net|precis,net|mari,ganivet_filo_fi,peix|proteina_animal|verdura,precaucio_cru,solid,protein_animal|vegetable,fish_white|general_seafood,protein_animal>vegetable,fish_white>general_seafood,, ,Objectiu: perfecte per plats crus/semicuits o presentació minimalista

kimchi,Kimchi / Kimjang,cultural,sense_calor,Fermentació coreana de verdures amb salmorra i pasta picant,cruixent|fermentat,acid|umami|picant,recipient_fermentacio,verdura,controlar_sodi_i_picant,solid,vegetable,fermented,vegetable,fermented,, ,Objectiu: afegeix fermentat+picant; com a side o topping
jang_fermentation,Fermentació Jang,cultural,sense_calor_o_suau,Fermentació de pastes i salses coreanes (doenjang/ganjang/gochujang) per umami profund,untós|dens,umami|fermentat,recipient_fermentacio,salsa|altre,alt_sodi,semi_liquid,sauce|other,fermented|soy_derivative,sauce>other,soy_derivative>fermented,, ,Objectiu: base umami; ideal si et falta “salsa” potent
banchan_pickling,Banchan (Encurtits i acompanyaments),cultural,sense_calor,Preparacions petites encurtides que creen contrast i netegen el paladar,cruixent|fresc,acid|salat,recipient,verdura|fruita,controlar_sodi,solid,vegetable|fruit,,vegetable>fruit,, ,Objectiu: side per contrast; encaixa amb qualsevol menú
