id,nom,tipus_base,formalitat,alcohol,maridatge_ordre,maridatge_tipus_plat,cos,dolçor,acidesa,tanins,bombolles,preu_cost,es_general,alergen,dietes,va_be_amb_categoria_macro,va_be_amb_familia,va_be_amb_sabors,evita_sabors
beguda-espumos-gran-reserva,Vi espumos gran reserva,escumos,formal,si,ordre-segon,peix|marisc|carn_blança|carn_vermella_suau|postres_acides|aperitiu,ple,sec,alta,baixos,intensa,6,si,Sulfits,V|VG,peix|proteina_animal|fruita_seca|salsa,peix_blanc|fons_cuina|reducció_vi|fruit_seca_ametlla,fresc|àcid|torrat|umami|gras,postres_molt_dolces
beguda-cervesa,Cervesa comercial,cervesa,informal,si,ordre-primer,burger|fregit|pasta|pizza|carn_blança|embotits,mitja,sec,mitja,baixos,mitja,2,no,Gluten,V|VG|KOSHER_POT,proteina_animal|cereal_feculent|salsa,porcí|fons_cuina|gra_dolç,salat|umami|fregit|torrat,postres_dolces
beguda-cervesa-artesana,Cervesa artesana,cervesa,formal|informal,si,ordre-primer,burger|fregit|carn_blança|carn_vermella|embotits|formatge,mitja,sec,mitja,baixos,mitja,3,no,Gluten,V|VG|KOSHER_POT,proteina_animal|cereal_feculent|fruita_seca|salsa,porcí|vedella|fons_cuina|fruit_seca_nou,salat|umami|fregit|torrat|fustós,postres_dolces
beguda-cervesa-sense-gluten,Cervesa comercial sense gluten,cervesa_sense_gluten,informal,si,ordre-primer,burger|fregit|pasta|pizza|carn_blança,mitja,sec,mitja,baixos,mitja,2,no,,V|VG|KOSHER_POT,proteina_animal|cereal_feculent|salsa,fons_cuina|gra_dolç,salat|umami|fregit|torrat,postres_dolces
beguda-cervesa-sense-gluten,Cervesa artesana sense gluten,cervesa_sense_gluten,formal,si,ordre-primer,burger|fregit|carn_blança|embotits|formatge_suau,mitja,sec,mitja,baixos,mitja,3,no,,V|VG|KOSHER_POT,proteina_animal|cereal_feculent|fruita_seca|salsa,fons_cuina|fruit_seca_nou,salat|umami|fregit|torrat,postres_dolces
beguda-tinto-de-verano,Tinto de verano,refresc_vi,formal|informal,si,ordre-primer,tapes|amanida|arros|pasta|peix,lleuger,semi_dolç,mitja,baixos,suau,2,no,Sulfits,V,verdura|cereal_feculent|peix|salsa,peix_blanc|fons_cuina|gra_dolç,fresc|àcid|fruita|salat,postres_molt_dolces|xocolata
beguda-refresc-ginger-ale,Ginger Ale artesanal,refresc_gaseosa,formal|informal,no,ordre-primer,picant|fregit|carn_blança|street_food,lleuger,dolç,mitja,cap,intensa,2.5,si,,V|VG|KOSHER_POT|HALAL_POT,proteina_animal|cereal_feculent|verdura,gra_dolç|fons_cuina,especiat|picant|fregit|dolç,postres_molt_dolces
beguda-refresc-tonica-premium,Tònica premium,refresc_amarg,formal|informal,no,ordre-segon,greixós|fregit|marisc|fumats_suaus,lleuger,sec,alta,cap,intensa,3,si,,V|VG|KOSHER_POT|HALAL_POT,peix|proteina_animal|verdura,peix_blanc|alga|fons_cuina,amarg|àcid|fresc,postres_dolces|xocolata
beguda-refresc-limona,Refresc de llimona,refresc_gaseosa,informal,no,ordre-segon,fregit|picant|postres|amanida,lleuger,dolç,alta,cap,mitja,1.5,si,,V|VG|KOSHER_POT|HALAL_POT,verdura|cereal_feculent|proteina_animal,gra_dolç|fons_cuina,àcid|dolç|fregit|salat, xocolata|fumat_fort
beguda-refresc-taronja,Refresc de taronja,refresc_gaseosa,informal,no,ordre-segon,fregit|picant|postres|amanida,lleuger,dolç,mitja,cap,mitja,1.5,si,,V|VG|KOSHER_POT|HALAL_POT,verdura|cereal_feculent|proteina_animal|postres,gra_dolç|citrics|fons_cuina,dolç|àcid|fresc|salat,postres_molt_dolces
beguda-refresc-cola,Refresc de cola,refresc_gaseosa,informal,no,ordre-segon,burger|fregit|pizza|carn_blança|carn_vermella,mitja,dolç,baixa,cap,intensa,1.5,si,,V|VG|KOSHER_POT|HALAL_POT,proteina_animal|cereal_feculent|salsa,porcí|vedella|gra_dolç|fons_cuina,dolç|caramel|fregit|salat,plats_molt_fins|peix_cru
beguda-refresc-mora,Refresc de mora,refresc_gaseosa,informal,no,ordre-primer,aperitiu_dolç|formatge_suau|postres,lleuger,dolç,mitja,cap,intensa,1.5,no,,V|VG|KOSHER_POT|HALAL_POT,postres|formatge|fruita_seca,fruit_seca_avellana|fruit_seca_ametlla,dolç|fruita|àcid_suau,plats_molt_salats|plats_molt_picants
beguda-ron-cola,Ron amb Cola,combinat,informal,si,ordre-postres,postres_xocolata|postres_caramel|fumat_suau,ple,semi_dolç,baixa,cap,intensa,6,no,,V|VG,postres|proteina_animal,xocolata|fruit_seca_nou|porcí,dolç|caramel|torrat|fustós,plats_acids|amanida_fresca
beguda-gin-tonic,Gin Tonic,combinat_amer,informal|formal,si,ordre-postres,aperitiu_salat|marisc|fumat_suau,mitja,sec,alta,cap,intensa,6,no,,V|VG|KOSHER_POT,peix|verdura|salsa,peix_blanc|alga|fons_cuina|citrics,amarg|àcid|fresc|especiat,postres_xocolata|plats_molt_picants
beguda-spritz,Aperol Spritz,combinat_aperitiu,formal|informal,si,ordre-primer,aperitiu_salat|amanida|fregit_suau,lleuger,semi_dolç,mitja,cap,intensa,5,si,Sulfits,V|VG,verdura|cereal_feculent|salsa,gra_dolç|citrics|fons_cuina,amarg_suau|dolç|fresc|citrics,postres_molt_dolces
beguda-martini-blanc,Martini blanc,vermut,formal|informal,si,ordre-primer,aperitiu_salat|marisc|conserves,mitja,sec,mitja,cap,intensa,4,si,Sulfits,V|VG,peix|verdura|salsa,peix_blanc|alga|fons_cuina,amarg|herbaci|salí,postres_dolces|plats_molt_picants
beguda-mojito-clàssic,Mojito clàssic,combinat,formal|informal,si,ordre-postres,picant|fregit|street_food|postres_citrics,lleuger,semi_dolç,alta,cap,intensa,5,no,,V|VG|KOSHER_POT,proteina_animal|verdura|postres,gra_dolç|citrics|herba_aromàtica,fresc|àcid|dolç|mentolat,plats_molt_lactics|plats_molt_fumats
beguda-licor-cafè,Licor de cafè,licor_dolç,formal|informal,si,ordre-postres,postres_xocolata|postres_cafe|formatge_curat,ple,dolç,baixa,cap,intensa,4,no,,V|VG|KOSHER_POT,postres|fruita_seca|formatge,xocolata|fruit_seca_nou|formatge_curat,dolç|torrefacte|fustós,plats_acids|amanida
beguda-te-fred,Tè fred,infusio_freda,informal,no,ordre-primer,amanida|oriental_suau|vegetaria,lleuger,semi_dolç,baixa,cap,mitja,3,no,,V|VG|KOSHER_POT|HALAL_POT,verdura|cereal_feculent|proteina_vegetal,gra_dolç|herba_aromàtica,herbaci|fresc|lleugerament_amarg,postres_molt_dolces
beguda-mojito-sense-alcohol,Mojito sense alcohol,combinat_sense_alcohol,formal|informal,no,ordre-postres,picant|fregit|street_food|postres_citrics,lleuger,semi_dolç,alta,cap,intensa,5,no,,V|VG|KOSHER_POT|HALAL_POT,proteina_animal|verdura|postres,gra_dolç|citrics|herba_aromàtica,fresc|àcid|dolç|mentolat,plats_molt_lactics|plats_molt_fumats

